pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1201 b,TOI-1201,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.49198630,0.028700,2.415,0.215,6.28000,0.01976,Mass,0.000000,40.60,703,0,M2.0 V,3476.00,0.51,0.51,0.050,[Fe/H],4.80,02h48m59.45s,42.2476999,-14d32m14.22s,-14.5372835,37.8871000,12.2600000,8.6460000,12.0966000,2021-09-27,2021-12,2021-09-27
TOI-122 b,TOI-122,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,5.07803000,0.039200,2.720,0.243,,,,0.000000,8.80,471,0,M3 V,3403.00,0.33,0.31,,,4.88,22h11m47.58s,332.9482355,-58d56m45.91s,-58.9460850,62.1180000,15.5260000,10.7710000,14.3357000,2020-12-10,2021-01,2020-12-17
TOI-1221 b,TOI-1221,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,91.68278000,0.387000,2.910,0.260,1112.39942,3.50000,Mass,0.210000,6.06,440,1,,5592.00,1.03,0.93,0.060,[Fe/H],4.38,07h11m41.05s,107.9210254,-65d30m31.88s,-65.5088568,138.4110000,10.4940000,9.0360000,10.5262000,2023-05-16,2023-05,2023-05-16
TOI-1227 b,TOI-1227,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,27.36397000,0.088600,9.572,0.854,,,,,3.21,,0,M4.5V-M5V,3072.00,0.56,0.17,,,,12h27m04.17s,186.7673635,-72d27m06.66s,-72.4518501,100.6410000,16.9990000,11.0340000,15.2514000,2022-03-28,2022-04,2022-03-28
TOI-1231 b,TOI-1231,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,24.24558600,0.128800,3.650,0.326,15.40000,0.04845,Mass,0.087000,1.93,330,0,M3 V,3553.00,0.48,0.48,0.041,[Fe/H],4.77,10h26m59.34s,156.7472600,-52d28m04.34s,-52.4678724,27.6227000,12.3600000,8.0690000,11.3600000,2021-11-09,2021-09,2021-11-09
TOI-1235 b,TOI-1235,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.44471400,,1.690,0.151,6.69000,0.02105,Mass,0.049000,,,0,M0.5 V,3997.00,0.62,0.63,0.330,[Fe/H],4.64,10h08m52.38s,152.2182549,+69d16m35.83s,69.2766204,39.6345000,11.4950000,7.8930000,10.8492000,2023-07-10,2022-09,2023-07-10
TOI-1246 b,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.30744000,0.049000,3.010,0.269,8.10000,0.02549,Mass,,196.00,955,0,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 c,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,5.90414400,0.061000,2.510,0.224,8.80000,0.02769,Mass,,129.00,860,0,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 d,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.65590000,0.131000,3.510,0.313,5.30000,0.01668,Mass,,28.00,586,1,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-1246 e,TOI-1246,1,1,4,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,37.92160000,0.211000,3.780,0.337,14.80000,0.04657,Mass,,11.00,462,1,K V,5151.00,0.86,0.87,0.170,[Fe/H],4.40,16h44m27.81s,251.1158702,+70d25m47.97s,70.4299917,169.4220000,11.6320000,9.9070000,11.7291000,2022-05-03,2022-04,2022-05-03
TOI-125 b,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.65382000,0.051860,2.726,0.243,9.50000,0.02989,Mass,0.194000,185.00,1037,0,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-125 c,TOI-125,1,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.15059000,0.081400,2.759,0.246,6.63000,0.02086,Mass,0.066000,77.59,828,0,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-125 d,TOI-125,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,19.98000000,0.137000,2.930,0.261,13.60000,0.04279,Mass,0.168000,26.70,638,0,K0 V,5320.00,0.85,0.86,-0.020,[Fe/H],4.52,01h34m22.42s,23.5934253,-66d40m34.86s,-66.6763495,111.0590000,11.0230000,8.9950000,10.7180000,2020-02-06,2020-03,2020-02-13
TOI-1259 A b,TOI-1259 A,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.47797800,0.040700,11.456,1.022,140.16233,0.44100,Mass,0.000000,,963,0,,4775.00,0.71,0.74,-0.500,[Fe/H],4.61,18h48m24.04s,282.1001665,+79d15m23.31s,79.2564761,118.1060000,12.0790000,9.6190000,11.8104000,2021-07-12,2021-11,2021-07-12
TOI-1260 b,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.12746300,0.036700,2.410,0.215,8.56000,0.02693,Mass,0.000000,95.58,871,0,,4227.00,0.67,0.68,-0.100,[Fe/H],4.57,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,11.9220000,8.9500000,11.5743000,2022-12-17,2022-12,2022-12-17
TOI-1260 c,TOI-1260,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,7.49313400,0.065700,2.760,0.246,13.20000,0.04153,Mass,0.000000,29.81,651,0,,4227.00,0.67,0.68,-0.100,[Fe/H],4.57,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,11.9220000,8.9500000,11.5743000,2022-12-17,2022-12,2022-12-17
TOI-1260 d,TOI-1260,1,1,3,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,16.60816400,0.111600,3.120,0.278,11.84000,0.03725,Mass,0.000000,10.32,499,0,,4227.00,0.67,0.68,-0.100,[Fe/H],4.57,10h28m34.58s,157.1440712,+65d51m15.11s,65.8541986,73.5977000,11.9220000,8.9500000,11.5743000,2022-12-17,2022-12,2022-12-17
TOI-1266 b,TOI-1266,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,10.89484100,0.072800,2.620,0.234,4.23000,0.01331,Mass,0.220000,5.50,425,1,M3 V,3618.00,0.44,0.43,-0.195,[Fe/H],4.79,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118000,12.9410000,8.8400000,12.1222000,2024-03-25,2024-01,2024-03-25
TOI-1266 c,TOI-1266,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.80161100,0.104700,2.130,0.190,2.88000,0.00906,Mass,0.340000,2.70,354,1,M3 V,3618.00,0.44,0.43,-0.195,[Fe/H],4.79,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118000,12.9410000,8.8400000,12.1222000,2024-03-25,2024-01,2024-03-25
